Report Date,Country,Indicator,Value
2018-01-01,BIH,WHOSIS_000001,74.86473
2019-01-01,BIH,WHOSIS_000001,77.09808
2020-01-01,BIH,WHOSIS_000001,73.03373
2021-01-01,BIH,WHOSIS_000001,72.55525
2000-01-01,BLR,WHOSIS_000001,68.79297
2001-01-01,BLR,WHOSIS_000001,74.39418
2002-01-01,BLR,WHOSIS_000001,67.90678
2003-01-01,BLR,WHOSIS_000001,74.51765
2004-01-01,BLR,WHOSIS_000001,68.80163
2005-01-01,BLR,WHOSIS_000001,68.69743
2006-01-01,BLR,WHOSIS_000001,69.3053
2007-01-01,BLR,WHOSIS_000001,76.04959
2008-01-01,BLR,WHOSIS_000001,64.56684
2009-01-01,BLR,WHOSIS_000001,76.36571
2010-01-01,BLR,WHOSIS_000001,64.51583
2011-01-01,BLR,WHOSIS_000001,64.66817
2012-01-01,BLR,WHOSIS_000001,77.6252
2013-01-01,BLR,WHOSIS_000001,72.59208
2014-01-01,BLR,WHOSIS_000001,78.36682
2015-01-01,BLR,WHOSIS_000001,73.73951
2016-01-01,BLR,WHOSIS_000001,78.88104
2017-01-01,BLR,WHOSIS_000001,79.1529
2018-01-01,BLR,WHOSIS_000001,79.25152
2019-01-01,BLR,WHOSIS_000001,69.72668
2020-01-01,BLR,WHOSIS_000001,78.26965
2021-01-01,BLR,WHOSIS_000001,78.13226
2000-01-01,BLZ,WHOSIS_000001,70.09513
2001-01-01,BLZ,WHOSIS_000001,70.61499
2002-01-01,BLZ,WHOSIS_000001,68.564
2003-01-01,BLZ,WHOSIS_000001,69.18055
2004-01-01,BLZ,WHOSIS_000001,74.88313
2005-01-01,BLZ,WHOSIS_000001,72.39888
2006-01-01,BLZ,WHOSIS_000001,72.62148
2007-01-01,BLZ,WHOSIS_000001,75.55667
2008-01-01,BLZ,WHOSIS_000001,73.53821
2009-01-01,BLZ,WHOSIS_000001,71.20972
2010-01-01,BLZ,WHOSIS_000001,71.13483
2011-01-01,BLZ,WHOSIS_000001,76.55316
2012-01-01,BLZ,WHOSIS_000001,74.18064
2013-01-01,BLZ,WHOSIS_000001,77.02636
2014-01-01,BLZ,WHOSIS_000001,74.21957
2015-01-01,BLZ,WHOSIS_000001,77.40926
2016-01-01,BLZ,WHOSIS_000001,71.55323
2017-01-01,BLZ,WHOSIS_000001,74.56129
2018-01-01,BLZ,WHOSIS_000001,74.57666
2019-01-01,BLZ,WHOSIS_000001,72.54915
2020-01-01,BLZ,WHOSIS_000001,76.65398
2021-01-01,BLZ,WHOSIS_000001,75.44019
2000-01-01,BOL,WHOSIS_000001,66.09386
2001-01-01,BOL,WHOSIS_000001,66.74497
2002-01-01,BOL,WHOSIS_000001,66.1633
2003-01-01,BOL,WHOSIS_000001,68.80484
2004-01-01,BOL,WHOSIS_000001,69.28703
2005-01-01,BOL,WHOSIS_000001,69.66469
2006-01-01,BOL,WHOSIS_000001,70.1293
2007-01-01,BOL,WHOSIS_000001,70.33891
2008-01-01,BOL,WHOSIS_000001,68.90791
2009-01-01,BOL,WHOSIS_000001,70.13715
